2015-09-22 17:43:09,978 NXQ_00080	0	4291	Proteins with at least one 3D structure of resolution less than 3 Angstroms	
2015-09-22 17:43:10,018 NXQ_00081	0	185	Proteins with at least one 3D structure and that are located in the mitochondrion and are linked with a disease	
2015-09-22 17:43:10,074 NXQ_00082	0	149	Proteins whose genes are on chromosome 21 that have "gold" variants not associated with a disease	
2015-09-22 17:43:12,395 NXQ_00083	2	1	Proteins whose genes are on chromosome 11 that are expressed only in liver	
2015-09-22 17:43:12,434 NXQ_00084	0	115	Proteins whose genes are on chromosome 18 and that are experimentally (cv:ECO_0000269) known to be glycosylated or phosphorylated or acetylated	
2015-09-22 17:43:12,483 NXQ_00085	0	416	Proteins with Poly-Proline stretches	
2015-09-22 17:43:12,524 NXQ_00086	0	366	Proteins whose genes are located in chromosome 2 region from 2p12 to 2p24.2	
2015-09-22 17:43:12,704 NXQ_00087	0	189	Proteins whose genes are on chromosome X and which do not have a ortholog in mouse	
2015-09-22 17:43:21,669 NXQ_00090	8	62	Proteins which are linked to a disease and that do not have orthologs/paralogs in mouse	
2015-09-22 17:43:22,156 NXQ_00092	0	2	Proteins with a sequence containing "FF.QYE" where "." is any single amino-acid	
2015-09-22 17:43:22,967 NXQ_00093	0	275	Proteins with a sequence containing "FF.+QYE" where ".+" is any peptide of any length	
2015-09-22 17:43:24,447 NXQ_00094	1	11	Proteins which are targets of antipsychotic drugs and highly expressed in brain	
2015-09-22 17:43:32,699 NXQ_00096	8	69	Proteins which are targets of drugs for cardiac therapy	
2015-09-22 17:43:32,921 NXQ_00097	0	15	Proteins located on chromosome 2 and having at least one variant in a phosphorylated tyrosine	
2015-09-22 17:44:03,466 NXQ_00099	30	5982	Proteins that have at least one PTM in a position of a variant	
2015-09-22 17:44:09,354 NXQ_00100	5	11947	Proteins expressed in liver and that have COSMIC variants associated with liver/hepatic cancer	
2015-09-22 17:44:11,196 NXQ_00103	1	197	Proteins that do not have a cross-reference to an Ensembl ENSG	
2015-09-22 17:44:11,257 NXQ_00104	0	31	Proteins whose gene is on chromosome 21 with at least one cross-reference to Orphanet	
2015-09-22 17:44:15,465 NXQ_00105	4	14068	Proteins with at least one cross-reference to the ProteinModelPortal but no cross-references to PDB	
2015-09-22 17:44:15,517 NXQ_00106	0	81	Proteins annotated as glycosylated but with no recorded glycosylation site	
2015-09-22 17:44:15,786 NXQ_00107	0	224	Proteins with a protein existence not "At protein level" (PE=1) and with a HGNC approved gene name that contains "orf"	
2015-09-22 17:44:15,855 NXQ_00108	0	95	Proteins that have a 3D structure in PDB that overlap by at least 50 amino acids with a SH3 domain	
2015-09-22 17:44:16,278 NXQ_00109	0	231	Proteins that have a MS-identified proteotypic peptide that maps partly or fully into a signal sequence	
2015-09-22 17:44:16,372 NXQ_00111	0	689	Proteins with one transmembrane domain and no annotated topology	
2015-09-22 17:44:19,097 NXQ_00112	2	1761	Proteins located in nucleus and nowhere else	
2015-09-22 17:44:20,852 NXQ_00113	1	15371	Proteins with protein existence "At protein level" (PE=1) and at least one proteotypic peptide	
2015-09-22 17:44:21,502 NXQ_00117	0	19275	Proteins with at least one sequence variant	
2015-09-22 17:44:32,727 NXQ_00118	11	18603	Proteins with at least one somatic variant	
2015-09-22 17:44:32,843 NXQ_00119	0	3428	Proteins with at least one annotated mutagenesis site	
2015-09-22 17:44:35,174 NXQ_00124	2	10	What are the 10 most frequent families with member count	
2015-09-22 17:44:35,547 NXQ_00125	0	465	Domains that are entirely covered by 3D structures	
2015-09-22 17:45:25,822 NXQ_00126	50	9017	Peptides that are potential neo N-termini from undescribed isoforms	
2015-09-22 17:45:25,919 NXQ_00127	0	698	Proteins with at least one known SUMOylation site	
2015-09-22 17:45:25,976 NXQ_00128	0	163	Proteins whose gene is annotated to be induced by interferons	
2015-09-22 17:45:26,276 NXQ_00130	0	14	Proteins with a DNA-binding region but not located in the nucleus	
2015-09-22 17:45:26,286 NXQ_00131	0	1	Terms of controlled vocabularies containing some word(s)	
2015-09-22 17:46:20,342 NXQ_00132	54	1514	Proteins with a 3D structure in complex with another human protein which is not reported as binary interactant	
2015-09-22 17:46:20,369 NXQ_00134	0	25	Proteins with the longest poly-AA stretches	
2015-09-22 17:46:20,410 NXQ_00135	0	7	Proteins involved in both Wnt and Hippo signaling pathways	
2015-09-22 17:46:20,473 NXQ_00136	0	126	Proteins whose sequence was updated in 2014	
2015-09-22 17:46:20,947 NXQ_00137	0	1222	Proteins that potentially interact with Class I PDZ domains (whose C-terminal sequence has a PDZ-binding consensus)	
2015-09-22 17:46:21,430 NXQ_00138	0	14	Proteins with 10 or more gold interactions with SH3 domain-containing proteins	
2015-09-22 17:46:23,612 NXQ_00139	2	227	Protein kinases which are drug targets according to CHEMBL	
2015-09-22 17:46:25,909 NXQ_00140	2	2768	Proteins that interact with viral proteins	
2015-09-22 17:46:27,358 NXQ_00141	1	38	Human proteins highly expressed in brain and observed in a PDB struture involving a virus protein	
2015-09-22 17:46:27,439 NXQ_00202	0	1099	Proteins with from 2 to 4 transmembrane regions	
2015-09-22 17:46:27,626 NXQ_00203	0	4852	Proteins with a mature chain of from 300 to 400 residues	
2015-09-22 17:46:27,716 NXQ_00204	0	2682	Proteins with protein existence "At transcript level" (PE=2) or "Inferred from homology" (PE=3) or "Predicted" (PE=4)	
2015-09-22 17:46:27,716 Query count:123
2015-09-22 17:46:27,716 OK count:123
2015-09-22 17:46:27,716 Exception count:0
2015-09-22 17:46:27,716 ZeroResult count:0
